Platform,Product_ID,Product_Category,Product_Subcategory,Product_Price,Discount_%,Stock_Count,Review_ID,Seller_ID,Rating,Review_Text,Review_Length,Sentiment_Score,Verified_Purchase,Delivery_Days,Return_Requested,Damage_Reported,Complaint_Type,IP_Address,Device_Fingerprint,Review_Timestamp,IP_Review_Frequency,Device_Reuse_Count,Burst_Review_Flag,Fraud_Label
Telegram,P314,Storage,Organizer Box,66907,10,239,R6535,S301,4,Excellent quality and fast delivery,5,0.547,No,18,Yes,No,,192.168.77.239,DEV-2075,24-09-2025 01:13,32,3,No,Genuine
Meesho,P2894,Lighting,LED Strip,85656,46,407,R6536,S1331,3,"Not as described, poor quality",5,-0.2,Yes,16,Yes,No,Late Delivery,192.168.214.130,DEV-1017,03-10-2025 13:59,33,21,No,Complaint
Facebook Marketplace,P2066,Storage,Shoe Rack,60280,9,28,R6537,S784,2,Item arrived damaged,3,0.8,No,2,Yes,No,Color Mismatch,10.0.0.2,DEV-1240,04-08-2025 19:45,28,10,Yes,Complaint
Quikr,P1847,Bedding,Blanket,38698,24,72,R6538,S585,2,Item arrived damaged,3,-0.299,Yes,9,Yes,No,Fake Product,192.168.216.229,DEV-2365,19-01-2026 18:21,36,16,No,Complaint
OLX,P224,Bedding,Bedsheet,82908,56,241,R6539,S941,5,Product matches description perfectly,4,-0.812,Yes,7,Yes,No,,192.168.166.108,DEV-6346,16-12-2025 00:25,14,23,No,Genuine
Facebook Marketplace,P369,Home Decor,Showpiece,96096,19,327,R6540,S1222,5,Highly recommend this seller,4,0.256,Yes,18,No,No,,10.0.0.3,DEV-2156,02-02-2026 15:35,28,22,Yes,Genuine
Instagram,P1829,Electronics,Power Bank,33704,66,41,R6541,S918,2,Item arrived damaged,3,0.826,No,17,Yes,No,Battery Issue,192.168.170.43,DEV-7765,12-11-2025 05:39,39,22,No,Complaint
Facebook Marketplace,P10,Furniture,Sofa,36498,19,345,R6542,S293,1,"Not as described, poor quality",5,0.782,No,13,Yes,No,Late Delivery,192.168.101.172,DEV-9973,07-02-2026 18:31,21,19,No,Complaint
Instagram,P2375,Electronics,Earbuds,30105,43,68,R6543,S977,1,"Not as described, poor quality",5,-0.905,Yes,18,Yes,No,Late Delivery,192.168.63.234,DEV-2106,15-12-2025 09:08,22,14,No,Complaint
Facebook Marketplace,P2008,Lighting,LED Strip,21294,37,337,R6544,S420,1,Item arrived damaged,3,-0.711,No,2,Yes,No,Color Mismatch,192.168.196.188,DEV-2618,22-01-2026 22:01,11,8,No,Complaint
YouTube Live,P153,Furniture,Dining Table,94211,8,89,R6545,S519,2,Very disappointed with the product,5,-0.176,No,20,Yes,No,Fake Product,192.168.32.161,DEV-5298,30-11-2025 10:48,35,22,No,Complaint
WhatsApp Business,P2592,Furniture,Dining Table,99570,8,243,R6546,S594,2,Battery drains quickly,3,-0.858,Yes,18,Yes,No,Late Delivery,192.168.190.66,DEV-4155,26-09-2025 02:56,39,13,No,Complaint
Telegram,P69,Storage,Shoe Rack,59230,55,112,R6547,S1294,2,100% trusted seller highly recommend,5,0.092,No,1,Yes,No,,192.168.195.198,DEV-2872,04-12-2025 06:07,7,7,No,Genuine
YouTube Live,P2127,Electronics,Smartwatch,31315,28,442,R6548,S830,1,Item arrived damaged,3,-0.443,Yes,19,Yes,No,Late Delivery,10.0.0.4,DEV-2386,24-11-2025 09:59,38,6,Yes,Complaint
WhatsApp Business,P2646,Electronics,Power Bank,46512,25,319,R6549,S1113,5,Worth the price and good packaging,6,0.175,Yes,17,No,No,,192.168.30.92,DEV-9688,11-08-2025 18:00,29,1,No,Genuine
Telegram,P832,Electronics,Power Bank,28911,58,103,R6550,S842,3,"Not as described, poor quality",5,0.804,No,14,No,No,Wrong Item,10.0.0.2,DEV-2628,24-11-2025 12:05,4,20,Yes,Complaint
Meesho,P2590,Lighting,Lamp,31795,53,329,R6551,S1366,5,Product matches description perfectly,4,-0.796,Yes,8,No,No,,10.0.0.3,DEV-7918,01-12-2025 05:29,37,2,Yes,Genuine
YouTube Live,P1353,Electronics,Earbuds,42073,5,351,R6552,S459,4,Worth the price and good packaging,6,-0.015,No,18,No,No,,10.0.0.2,DEV-5029,13-10-2025 12:32,28,13,Yes,Genuine
OLX,P847,Electronics,Speaker,36334,40,95,R6553,S1323,4,Very satisfied with the purchase,5,0.341,No,9,Yes,No,,192.168.171.115,DEV-1889,07-11-2025 03:31,8,17,No,Genuine
YouTube Live,P314,Furniture,Wardrobe,93499,11,88,R6554,S412,2,Very disappointed with the product,5,0.101,Yes,16,Yes,No,Wrong Item,192.168.19.126,DEV-1132,02-09-2025 21:05,20,6,No,Complaint
YouTube Live,P708,Storage,Drawer Unit,100484,27,285,R6555,S1042,1,Battery drains quickly,3,0.446,Yes,16,Yes,No,Color Mismatch,192.168.96.119,DEV-3060,05-10-2025 04:15,14,6,No,Complaint
OLX,P51,Storage,Organizer Box,72961,55,458,R6556,S1095,2,Received wrong item,3,-0.96,Yes,20,Yes,No,Missing Parts,192.168.5.115,DEV-5699,29-08-2025 03:20,21,5,No,Complaint
Instagram,P1533,Kitchen,Storage Jar,119156,60,138,R6557,S986,4,Excellent quality and fast delivery,5,-0.295,Yes,15,Yes,No,,10.0.0.2,DEV-3648,24-11-2025 21:23,15,2,Yes,Genuine
Meesho,P1463,Bedding,Bedsheet,2453,74,425,R6558,S731,5,Product matches description perfectly,4,0.026,No,8,No,No,,192.168.55.131,DEV-8435,09-08-2025 12:08,20,24,No,Genuine
Telegram,P2957,Kitchen,Utensil Holder,95424,70,107,R6559,S929,4,Very satisfied with the purchase,5,0.654,No,12,Yes,No,,192.168.208.134,DEV-4536,31-08-2025 23:48,10,25,No,Genuine
Telegram,P2420,Furniture,Bed,109481,66,3,R6560,S1197,3,100% trusted seller highly recommend,5,0.666,No,12,No,No,,192.168.134.55,DEV-2664,04-10-2025 00:05,33,19,No,Genuine
YouTube Live,P1764,Bedding,Curtain,6178,37,1,R6561,S539,5,Product matches description perfectly,4,0.517,No,18,Yes,No,,192.168.66.71,DEV-8424,11-12-2025 23:14,2,5,No,Genuine
Meesho,P1402,Kitchen,Utensil Holder,38444,35,21,R6562,S1447,5,Product matches description perfectly,4,0.747,Yes,13,No,No,,192.168.52.186,DEV-5022,20-02-2026 09:55,3,1,No,Genuine
WhatsApp Business,P432,Storage,Drawer Unit,97238,65,229,R6563,S792,3,Received wrong item,3,-0.773,No,9,No,No,Late Delivery,192.168.82.137,DEV-3163,05-08-2025 23:49,9,3,No,Complaint
YouTube Live,P1289,Electronics,Speaker,5971,31,359,R6564,S1262,1,Item arrived damaged,3,0.821,No,3,Yes,Yes,Damaged Product,10.0.0.3,DEV-6246,09-12-2025 19:45,30,8,Yes,Complaint
Facebook Marketplace,P1691,Home Decor,Vase,114817,68,112,R6565,S563,2,Item arrived damaged,3,0.785,No,9,Yes,No,Late Delivery,192.168.131.103,DEV-9066,31-08-2025 07:20,22,23,No,Complaint
OLX,P1157,Storage,Organizer Box,64822,7,202,R6566,S1173,3,"Not as described, poor quality",5,0.749,No,20,No,No,Fake Product,192.168.60.135,DEV-5996,18-10-2025 00:45,1,1,No,Complaint
Quikr,P10,Furniture,Sofa,116809,26,64,R6567,S759,5,Product matches description perfectly,4,-0.231,No,9,No,No,,10.0.0.2,DEV-3431,11-08-2025 06:36,30,16,Yes,Fake
Instagram,P1311,Storage,Shoe Rack,83903,41,342,R6568,S757,2,Received wrong item,3,0.427,Yes,10,Yes,No,Color Mismatch,192.168.137.124,DEV-5849,16-08-2025 06:44,35,3,No,Complaint
Quikr,P1285,Home Decor,Showpiece,7387,63,228,R6569,S505,3,Very disappointed with the product,5,-0.511,Yes,11,No,No,Poor Quality,10.0.0.1,DEV-9679,04-12-2025 17:46,23,20,Yes,Complaint
Telegram,P2832,Bedding,Cushion,115407,38,19,R6570,S1229,4,Very satisfied with the purchase,5,-0.035,No,14,No,No,,192.168.126.96,DEV-2012,09-02-2026 17:10,21,1,No,Genuine
Quikr,P2252,Electronics,Earbuds,51950,19,204,R6571,S483,3,Item arrived damaged,3,0.578,No,16,No,No,Battery Issue,192.168.239.207,DEV-4625,09-10-2025 15:46,1,3,No,Complaint
YouTube Live,P559,Storage,Drawer Unit,12467,24,300,R6572,S844,1,"Not as described, poor quality",5,-0.067,No,9,Yes,No,Battery Issue,10.0.0.1,DEV-7549,03-12-2025 06:50,15,12,Yes,Complaint
OLX,P1853,Bedding,Cushion,1468,34,394,R6573,S1148,5,Product matches description perfectly,4,-0.436,Yes,6,No,No,,192.168.25.75,DEV-7078,19-11-2025 17:25,35,22,No,Genuine
OLX,P1908,Electronics,Smartwatch,20025,22,231,R6574,S175,5,Product matches description perfectly,4,0.624,No,4,No,No,,192.168.251.56,DEV-5281,16-01-2026 17:17,20,15,No,Genuine
Meesho,P1294,Home Decor,Clock,30246,17,500,R6575,S266,2,Item arrived damaged,3,0.942,Yes,12,Yes,No,Late Delivery,192.168.58.234,DEV-6722,15-01-2026 17:42,16,12,No,Complaint
Facebook Marketplace,P2682,Lighting,Ceiling Light,105091,74,53,R6576,S309,1,Item arrived damaged,3,-0.952,Yes,15,Yes,No,Poor Quality,192.168.146.90,DEV-5098,27-08-2025 23:28,32,19,No,Complaint
Quikr,P1296,Lighting,LED Strip,73937,42,480,R6577,S1008,1,Item arrived damaged,3,-0.223,Yes,20,Yes,No,Battery Issue,192.168.46.33,DEV-6916,15-10-2025 19:04,31,13,No,Complaint
Telegram,P36,Kitchen,Spice Rack,105174,64,5,R6578,S429,2,Very disappointed with the product,5,0.825,Yes,13,Yes,No,Color Mismatch,192.168.194.197,DEV-4630,23-12-2025 18:25,27,20,No,Complaint
Facebook Marketplace,P2156,Furniture,Wardrobe,19089,26,72,R6579,S1267,5,Excellent quality and fast delivery,5,0.749,No,17,No,No,,192.168.191.116,DEV-6505,30-11-2025 16:53,28,2,No,Genuine
Meesho,P2681,Bedding,Cushion,104570,49,433,R6580,S838,4,Very satisfied with the purchase,5,0.198,Yes,18,No,No,,192.168.194.129,DEV-5329,04-02-2026 00:45,5,7,No,Genuine
Telegram,P2502,Storage,Shoe Rack,26133,60,297,R6581,S147,1,"Not as described, poor quality",5,-0.262,No,5,Yes,No,Missing Parts,192.168.232.113,DEV-1567,11-08-2025 18:42,1,14,No,Complaint
Quikr,P1155,Furniture,Bed,43016,58,357,R6582,S1374,2,Received wrong item,3,-0.011,Yes,19,Yes,No,Late Delivery,10.0.0.3,DEV-8227,02-10-2025 15:38,24,6,Yes,Complaint
OLX,P774,Electronics,Speaker,111753,59,459,R6583,S1469,2,Received wrong item,3,-0.573,Yes,12,Yes,No,Late Delivery,10.0.0.5,DEV-3113,15-01-2026 10:30,2,4,Yes,Complaint
YouTube Live,P1021,Electronics,Power Bank,76022,19,191,R6584,S1371,4,Product matches description perfectly,4,0.613,Yes,11,Yes,No,,192.168.204.104,DEV-3837,06-08-2025 15:27,1,12,No,Genuine
Facebook Marketplace,P1420,Storage,Shoe Rack,19789,26,101,R6585,S1039,3,Item arrived damaged,3,0.934,Yes,18,No,Yes,Damaged Product,192.168.123.113,DEV-8274,04-08-2025 10:19,25,5,No,Complaint
YouTube Live,P1894,Storage,Organizer Box,22526,66,334,R6586,S1024,2,Item arrived damaged,3,0.523,Yes,6,Yes,No,Battery Issue,10.0.0.4,DEV-8917,14-08-2025 21:09,32,25,Yes,Complaint
YouTube Live,P1650,Bedding,Bedsheet,22132,13,337,R6587,S22,4,Product matches description perfectly,4,0.837,No,10,Yes,No,,192.168.190.63,DEV-8246,12-11-2025 07:34,28,7,No,Genuine
YouTube Live,P543,Bedding,Bedsheet,78084,79,428,R6588,S342,1,Received wrong item,3,-0.272,Yes,13,Yes,Yes,Damaged Product,10.0.0.1,DEV-6320,03-10-2025 19:21,26,5,Yes,Complaint
Telegram,P107,Kitchen,Storage Jar,30335,71,392,R6589,S536,4,Product matches description perfectly,4,0.047,Yes,14,Yes,No,,192.168.65.180,DEV-3283,10-08-2025 00:24,11,22,No,Genuine
Facebook Marketplace,P1334,Electronics,Earbuds,67292,24,490,R6590,S1288,1,Very disappointed with the product,5,0.575,Yes,4,Yes,No,Poor Quality,192.168.133.158,DEV-3498,01-12-2025 22:08,36,12,No,Complaint
Telegram,P429,Lighting,LED Strip,5011,66,170,R6591,S1310,5,Excellent quality and fast delivery,5,0.507,No,10,No,No,,192.168.85.34,DEV-3903,09-11-2025 08:50,35,21,No,Genuine
YouTube Live,P2342,Furniture,Sofa,65500,18,148,R6592,S396,5,Product matches description perfectly,4,0.2,Yes,12,No,No,,192.168.156.148,DEV-9779,16-01-2026 02:04,10,1,No,Genuine
Meesho,P830,Furniture,Coffee Table,105718,75,9,R6593,S1194,5,Very satisfied with the purchase,5,-0.054,No,12,Yes,No,,10.0.0.4,DEV-4315,08-10-2025 00:58,8,21,Yes,Fake
Instagram,P586,Storage,Shoe Rack,96430,22,304,R6594,S1238,1,Received wrong item,3,-0.634,Yes,4,Yes,No,Battery Issue,10.0.0.1,DEV-2999,18-12-2025 14:51,38,19,Yes,Complaint
OLX,P1489,Home Decor,Vase,47580,26,180,R6595,S664,1,Super product awesome awesome,4,0.358,No,8,Yes,No,,192.168.149.35,DEV-7274,26-08-2025 12:58,29,7,No,Genuine
Instagram,P526,Furniture,Bed,99790,22,297,R6596,S303,2,Received wrong item,3,-0.296,No,12,Yes,No,Poor Quality,192.168.79.56,DEV-7050,15-09-2025 08:34,34,8,No,Complaint
OLX,P1291,Lighting,Lamp,73034,55,111,R6597,S898,4,Worth the price and good packaging,6,0.24,No,3,Yes,No,,192.168.114.99,DEV-9455,23-01-2026 19:48,14,17,No,Genuine
Instagram,P762,Electronics,Earbuds,1506,63,412,R6598,S1444,3,Item arrived damaged,3,0.531,Yes,1,No,No,Battery Issue,10.0.0.3,DEV-2404,09-11-2025 14:46,39,18,Yes,Complaint
Meesho,P685,Home Decor,Showpiece,76776,15,59,R6599,S1461,5,Excellent quality and fast delivery,5,-0.698,Yes,1,No,No,,192.168.28.241,DEV-9316,13-12-2025 21:05,18,16,No,Genuine
Telegram,P1684,Electronics,Smartwatch,54094,22,179,R6600,S1373,4,Worth the price and good packaging,6,0.18,Yes,6,Yes,No,,10.0.0.5,DEV-1205,20-09-2025 06:32,18,2,Yes,Genuine
Facebook Marketplace,P2667,Home Decor,Clock,112147,57,178,R6601,S1448,2,Battery drains quickly,3,-0.762,Yes,9,Yes,No,Color Mismatch,192.168.251.154,DEV-9888,12-10-2025 16:47,33,24,No,Complaint
Meesho,P1410,Lighting,Chandelier,72119,37,288,R6602,S898,1,Item arrived damaged,3,-0.293,Yes,14,Yes,No,Late Delivery,192.168.232.120,DEV-2279,18-12-2025 06:22,15,11,No,Complaint
Meesho,P2553,Storage,Organizer Box,57898,15,429,R6603,S707,2,Item arrived damaged,3,-0.157,Yes,20,Yes,No,Battery Issue,10.0.0.5,DEV-2160,12-11-2025 19:01,21,9,Yes,Complaint
WhatsApp Business,P539,Home Decor,Clock,32142,36,178,R6604,S1346,4,Highly recommend this seller,4,-0.202,Yes,6,No,No,,192.168.186.34,DEV-4682,18-11-2025 06:08,21,7,No,Genuine
Meesho,P2683,Furniture,Dining Table,117861,69,77,R6605,S261,4,Excellent quality and fast delivery,5,0.39,No,1,No,No,,192.168.55.88,DEV-9889,19-11-2025 09:55,16,16,No,Genuine
Telegram,P572,Furniture,Dining Table,62828,13,209,R6606,S268,1,Battery drains quickly,3,0.229,Yes,8,Yes,No,Color Mismatch,192.168.217.23,DEV-9437,24-11-2025 20:36,15,4,No,Complaint
YouTube Live,P2906,Furniture,Bed,40452,54,193,R6607,S656,2,Item arrived damaged,3,0.165,Yes,16,Yes,No,Late Delivery,192.168.240.100,DEV-8658,21-01-2026 17:42,10,23,No,Complaint
Telegram,P2487,Furniture,Bed,4534,41,124,R6608,S154,1,Item arrived damaged,3,0.273,Yes,17,Yes,No,Wrong Item,192.168.218.127,DEV-8226,19-10-2025 20:23,8,11,No,Complaint
Telegram,P1929,Kitchen,Spice Rack,8822,73,101,R6609,S1465,1,"Not as described, poor quality",5,-0.927,No,9,Yes,No,Color Mismatch,192.168.209.76,DEV-8893,25-02-2026 08:05,6,21,No,Complaint
Facebook Marketplace,P1759,Storage,Drawer Unit,72751,9,204,R6610,S218,2,Received wrong item,3,0.705,No,12,Yes,No,Battery Issue,10.0.0.3,DEV-2044,29-09-2025 11:04,4,10,Yes,Complaint
Telegram,P1580,Home Decor,Clock,28836,27,259,R6611,S423,2,Received wrong item,3,0.966,Yes,5,Yes,No,Poor Quality,10.0.0.4,DEV-3766,19-12-2025 03:28,36,11,Yes,Complaint
WhatsApp Business,P1682,Kitchen,Storage Jar,74955,70,299,R6612,S1062,3,"Not as described, poor quality",5,0.68,Yes,20,Yes,No,Missing Parts,192.168.62.35,DEV-2124,05-12-2025 04:46,5,9,No,Complaint
Meesho,P2156,Storage,Organizer Box,35571,26,205,R6613,S474,3,Best best best must buy,5,-0.396,Yes,4,Yes,No,,192.168.139.115,DEV-4848,18-11-2025 09:57,25,4,No,Genuine
WhatsApp Business,P534,Bedding,Bedsheet,86759,77,410,R6614,S805,3,Best best best must buy,5,-0.627,Yes,1,Yes,No,,10.0.0.5,DEV-4707,05-01-2026 10:49,3,13,Yes,Genuine
Instagram,P2169,Electronics,Power Bank,104329,47,420,R6615,S357,2,Very disappointed with the product,5,0.661,Yes,17,Yes,No,Battery Issue,10.0.0.1,DEV-2257,26-08-2025 15:06,8,10,Yes,Complaint
Quikr,P2698,Electronics,Power Bank,90488,46,150,R6616,S1071,1,"Not as described, poor quality",5,0.154,Yes,17,Yes,No,Missing Parts,192.168.51.217,DEV-3874,23-08-2025 15:41,25,4,No,Complaint
OLX,P434,Furniture,Bed,93849,26,179,R6617,S209,1,"Not as described, poor quality",5,0.095,No,17,Yes,No,Poor Quality,192.168.122.114,DEV-6877,30-12-2025 21:32,34,1,No,Complaint
Meesho,P1539,Lighting,Ceiling Light,47177,24,58,R6618,S1254,5,Worth the price and good packaging,6,-0.579,No,4,Yes,No,,10.0.0.4,DEV-7135,29-12-2025 19:13,40,24,Yes,Fake
Instagram,P1774,Kitchen,Utensil Holder,65407,8,57,R6619,S1071,1,Battery drains quickly,3,0.075,No,7,Yes,No,Missing Parts,10.0.0.1,DEV-9663,30-01-2026 19:59,20,22,Yes,Complaint
Quikr,P846,Kitchen,Spice Rack,44418,76,309,R6620,S764,1,Item arrived damaged,3,-0.397,No,7,Yes,No,Missing Parts,10.0.0.5,DEV-4325,23-09-2025 17:20,16,8,Yes,Complaint
Telegram,P1279,Lighting,Chandelier,73684,49,448,R6621,S625,2,Amazing amazing amazing product,4,0.543,No,10,Yes,No,,192.168.77.107,DEV-6924,21-09-2025 17:06,24,14,No,Genuine
Facebook Marketplace,P1393,Lighting,Chandelier,36248,9,23,R6622,S1429,1,Battery drains quickly,3,-0.747,No,2,Yes,No,Color Mismatch,192.168.46.92,DEV-6612,27-08-2025 11:57,5,2,No,Complaint
YouTube Live,P225,Kitchen,Storage Jar,59420,46,372,R6623,S1430,2,"Not as described, poor quality",5,0.471,Yes,1,Yes,No,Fake Product,192.168.250.52,DEV-3571,30-01-2026 02:44,24,7,No,Complaint
Meesho,P649,Electronics,Smartphone,43922,14,300,R6624,S1276,4,Very satisfied with the purchase,5,0.303,No,13,Yes,No,,192.168.72.255,DEV-8886,19-11-2025 20:44,36,9,No,Genuine
Telegram,P1432,Furniture,Coffee Table,15644,27,399,R6625,S871,1,Very disappointed with the product,5,-0.97,No,17,Yes,Yes,Damaged Product,192.168.213.234,DEV-4525,24-12-2025 06:07,34,19,No,Complaint
WhatsApp Business,P2776,Home Decor,Vase,73970,29,420,R6626,S1332,1,Very disappointed with the product,5,-0.561,No,18,Yes,No,Color Mismatch,10.0.0.4,DEV-7735,14-08-2025 08:50,23,22,Yes,Complaint
Quikr,P631,Home Decor,Wall Art,113758,69,347,R6627,S330,1,100% trusted seller highly recommend,5,-0.301,No,19,Yes,No,,192.168.219.216,DEV-1030,26-11-2025 12:20,23,14,No,Genuine
YouTube Live,P764,Electronics,Earbuds,80421,23,396,R6628,S620,5,Worth the price and good packaging,6,0.004,No,6,No,No,,192.168.27.62,DEV-2184,26-10-2025 06:46,8,18,No,Genuine
Instagram,P708,Storage,Organizer Box,52665,54,376,R6629,S220,3,Very disappointed with the product,5,-0.892,No,2,Yes,No,Fake Product,192.168.59.76,DEV-5871,30-08-2025 10:36,38,15,No,Complaint
OLX,P869,Bedding,Curtain,64933,47,275,R6630,S318,5,Worth the price and good packaging,6,0.267,No,1,Yes,No,,10.0.0.5,DEV-5722,17-02-2026 11:50,24,17,Yes,Fake
Telegram,P688,Furniture,Dining Table,24542,69,153,R6631,S1350,3,"Not as described, poor quality",5,-0.188,No,12,Yes,No,Fake Product,192.168.66.4,DEV-2478,28-09-2025 14:38,16,25,No,Complaint
Telegram,P2772,Bedding,Curtain,47864,71,201,R6632,S387,3,Battery drains quickly,3,0.643,Yes,5,No,No,Poor Quality,192.168.60.234,DEV-6015,31-01-2026 16:07,1,16,No,Complaint
Meesho,P1520,Furniture,Sofa,45114,14,374,R6633,S1416,1,"Not as described, poor quality",5,0.008,Yes,18,Yes,No,Late Delivery,192.168.246.13,DEV-5432,17-11-2025 07:03,11,3,No,Complaint
YouTube Live,P120,Electronics,Speaker,95878,48,59,R6634,S1047,3,Very disappointed with the product,5,-0.194,No,8,Yes,No,Poor Quality,192.168.25.31,DEV-4313,15-02-2026 03:41,7,10,No,Complaint
OLX,P758,Storage,Organizer Box,100056,42,150,R6635,S165,3,"Not as described, poor quality",5,0.434,No,3,No,No,Wrong Item,10.0.0.4,DEV-7009,01-09-2025 14:57,6,7,Yes,Complaint
Quikr,P1426,Kitchen,Utensil Holder,57852,54,205,R6636,S861,4,Excellent quality and fast delivery,5,0.857,Yes,12,No,No,,192.168.116.52,DEV-9802,09-11-2025 11:28,25,17,No,Genuine
Instagram,P1113,Kitchen,Spice Rack,55896,41,410,R6637,S162,5,Worth the price and good packaging,6,-0.842,No,6,No,No,,10.0.0.4,DEV-5650,30-01-2026 02:58,12,8,Yes,Fake
Instagram,P1193,Storage,Drawer Unit,20447,40,306,R6638,S939,4,Highly recommend this seller,4,-0.861,Yes,3,No,No,,10.0.0.5,DEV-3991,24-01-2026 16:07,1,6,Yes,Genuine
WhatsApp Business,P170,Bedding,Bedsheet,40506,71,352,R6639,S759,5,Highly recommend this seller,4,0.704,Yes,3,No,No,,192.168.122.245,DEV-9053,11-11-2025 07:17,17,7,No,Genuine
Instagram,P23,Lighting,Chandelier,5331,24,306,R6640,S268,2,"Not as described, poor quality",5,0.505,Yes,4,Yes,No,Color Mismatch,192.168.76.41,DEV-9697,30-08-2025 06:33,16,5,No,Complaint
WhatsApp Business,P796,Bedding,Curtain,56193,65,62,R6641,S740,2,"Not as described, poor quality",5,-0.722,Yes,7,Yes,No,Poor Quality,192.168.218.81,DEV-6255,03-11-2025 03:12,35,24,No,Complaint
WhatsApp Business,P1184,Storage,Drawer Unit,33428,16,421,R6642,S1151,3,"Not as described, poor quality",5,0.614,Yes,14,Yes,No,Wrong Item,192.168.103.25,DEV-6741,07-12-2025 04:06,32,4,No,Complaint
Facebook Marketplace,P2474,Electronics,Earbuds,94312,43,45,R6643,S555,3,"Not as described, poor quality",5,0.992,No,3,Yes,No,Poor Quality,192.168.123.56,DEV-1147,09-08-2025 20:29,6,21,No,Complaint
YouTube Live,P2557,Storage,Shoe Rack,111250,9,363,R6644,S406,1,Very disappointed with the product,5,0.428,No,10,Yes,No,Color Mismatch,192.168.234.205,DEV-6194,10-09-2025 18:27,9,19,No,Complaint
OLX,P579,Kitchen,Utensil Holder,22956,78,33,R6645,S1,1,Super product awesome awesome,4,0.281,No,6,Yes,No,,192.168.203.136,DEV-3574,18-10-2025 14:16,2,16,No,Genuine
Facebook Marketplace,P2572,Electronics,Smartwatch,6848,76,362,R6646,S539,5,Highly recommend this seller,4,0.469,No,16,Yes,No,,192.168.240.35,DEV-8187,12-09-2025 14:32,1,16,No,Genuine
Meesho,P2923,Electronics,Speaker,12069,63,467,R6647,S271,1,Very disappointed with the product,5,0.731,Yes,5,Yes,No,Missing Parts,192.168.30.30,DEV-2025,28-12-2025 00:15,1,24,No,Complaint
Facebook Marketplace,P2189,Lighting,Ceiling Light,36753,63,31,R6648,S502,2,Very disappointed with the product,5,-0.97,No,17,Yes,No,Poor Quality,192.168.200.67,DEV-9852,24-11-2025 06:16,40,20,No,Complaint
YouTube Live,P772,Lighting,Ceiling Light,29518,70,57,R6649,S1101,2,Item arrived damaged,3,-0.565,No,7,Yes,No,Missing Parts,192.168.105.48,DEV-6926,14-11-2025 15:33,17,3,No,Complaint
Telegram,P108,Kitchen,Utensil Holder,95546,56,192,R6650,S816,3,"Not as described, poor quality",5,-0.168,Yes,2,Yes,No,Wrong Item,192.168.3.84,DEV-3311,18-02-2026 12:52,12,22,No,Complaint
OLX,P1319,Bedding,Blanket,66547,56,358,R6651,S693,1,Item arrived damaged,3,0.37,No,10,Yes,No,Battery Issue,192.168.212.233,DEV-3621,27-09-2025 04:02,33,15,No,Complaint
YouTube Live,P636,Furniture,Wardrobe,94369,65,194,R6652,S310,4,Product matches description perfectly,4,-0.3,No,18,No,No,,192.168.80.128,DEV-8862,30-09-2025 11:40,34,10,No,Genuine
Facebook Marketplace,P2225,Bedding,Bedsheet,21798,74,295,R6653,S766,4,Very satisfied with the purchase,5,0.457,Yes,13,Yes,No,,192.168.139.177,DEV-2494,17-11-2025 03:55,5,10,No,Genuine
Telegram,P1696,Storage,Organizer Box,29043,67,238,R6654,S1108,3,Item arrived damaged,3,0.66,No,7,No,No,Battery Issue,10.0.0.3,DEV-1664,12-12-2025 05:07,36,2,Yes,Complaint
WhatsApp Business,P66,Lighting,Chandelier,52781,79,186,R6655,S277,1,"Not as described, poor quality",5,0.038,No,2,Yes,Yes,Damaged Product,192.168.11.221,DEV-8389,06-09-2025 15:01,25,8,No,Complaint
Quikr,P786,Electronics,Power Bank,89647,23,172,R6656,S1398,1,Received wrong item,3,-0.955,Yes,14,Yes,No,Color Mismatch,192.168.87.230,DEV-4579,31-12-2025 15:24,9,1,No,Complaint
Quikr,P721,Storage,Shoe Rack,71927,37,90,R6657,S45,4,Worth the price and good packaging,6,0.247,Yes,19,Yes,No,,10.0.0.1,DEV-2739,04-08-2025 15:55,16,10,Yes,Genuine
Telegram,P1038,Storage,Shoe Rack,50240,66,192,R6658,S1018,2,Super product awesome awesome,4,-0.594,No,9,Yes,No,,192.168.22.148,DEV-5196,10-08-2025 22:39,14,18,No,Genuine
Instagram,P2638,Kitchen,Storage Jar,56377,26,405,R6659,S274,5,Highly recommend this seller,4,-0.91,Yes,10,No,No,,192.168.129.104,DEV-3560,03-08-2025 01:20,35,21,No,Genuine
Quikr,P676,Furniture,Bed,83333,7,266,R6660,S500,1,Received wrong item,3,-0.957,Yes,11,Yes,No,Battery Issue,192.168.135.99,DEV-4796,06-01-2026 14:47,34,9,No,Complaint
Facebook Marketplace,P649,Storage,Organizer Box,9322,58,430,R6661,S343,5,Excellent quality and fast delivery,5,0.767,Yes,10,Yes,No,,10.0.0.2,DEV-4561,28-01-2026 21:47,15,21,Yes,Genuine
OLX,P1712,Storage,Drawer Unit,93525,12,275,R6662,S959,2,"Not as described, poor quality",5,-0.583,Yes,20,Yes,No,Late Delivery,192.168.125.89,DEV-8322,25-11-2025 09:27,28,6,No,Complaint
Quikr,P1793,Home Decor,Mirror,91518,35,223,R6663,S662,5,Very satisfied with the purchase,5,-0.529,Yes,17,Yes,No,,192.168.3.235,DEV-5886,22-01-2026 17:27,4,1,No,Genuine
